Tanuteryan Skyurik
Ghasabyan Ptghuncik
Shloryan Garfinqyul
Txkchyan Ccashat
Grigoryan Yughaber
Mstoyan Bulversik
Rstikyan Kliment
Ptkuncyan Nastel
Tarapyan Havkit
Gyulamiryan Kaqav
Pantelemyon Socki
Sujyan Celesina
Nemecov Shiller
Amerikyan Jumshud
Pstikyan Elibek
Pzpzyan Gelim
Chichakyan Baxtiar
Grsemyan Baghdagyul
Dnzzyan Muminat
Xamperyan Bubush
Trchunyan Rzdan
Jomardyan Shaqar
Torchyan Dzubeyda
Kloryan Shnorik
Zmalyan Qanaqar
Naxoyan Maralik
Tutxalyan Astine
Jndoyan Aval
Murdoghyan Sharhazdan
Toloyan Tital
Tsilivilyan Anaxas
Brnadatvatsayin Soxak
Gyozalyan Paravon
Tmbukyan Gyulab
